Rank,Player,Team,Position,Age,ETA,High,Low,Ralph,Matt,Eddy,Risk,AVG,OBP,SLG,HR,SB,ERA,WHIP,IP,K
1,Vladimir Guerrero Jr.,Blue Jays,3B,20,2019,1,1,1,1,1,Low,0.32,0.4,0.55,35,1,,,,
2,Eloy Jimenez,White Sox,OF,22,2019,2,3,3,2,2,Low,0.31,0.36,0.58,40,1,,,,
3,Fernando Tatis Jr.,Padres,SS,20,2020,2,4,2,3,4,Moderate,0.28,0.39,0.55,35,15,,,,
4,Victor Robles,Nationals,OF,22,2019,3,4,4,4,3,Low,0.29,0.35,0.475,20,30,,,,
5,Wander Franco,Rays,SS,18,2021,5,6,6,5,6,High,0.3,0.375,0.54,30,10,,,,
6,Jo Adell,Angels,OF,20,2020,6,7,7,6,7,Moderate,0.28,0.34,0.52,30,20,,,,
7,Nick Senzel,Reds,3B,24,2019,5,11,5,11,5,Low,0.3,0.39,0.515,30,10,,,,
8,Royce Lewis,Twins,SS,20,2020,8,9,8,9,8,Low,0.315,0.365,0.47,20,30,,,,
9,Keston Hiura,Brewers,2B,22,2019,8,10,10,8,10,Low,0.32,0.365,0.51,25,10,,,,
10,Forrest Whitley,Astros,RHP,21,2019,7,12,11,7,12,Moderate,,,,,,2.5,1,220,260
11,Kyle Tucker,Astros,OF,22,2019,9,12,9,12,9,Moderate,0.29,0.37,0.53,25,20,,,,
12,Alex Kirilloff,Twins,OF,21,2020,10,13,12,10,13,Moderate,0.31,0.375,0.54,30,5,,,,
13,Bo Bichette,Blue Jays,SS,21,2020,11,13,13,13,11,Moderate,0.29,0.35,0.48,20,25,,,,
14,Taylor Trammell,Reds,OF,21,2020,15,16,16,15,16,High,0.28,0.38,0.475,25,30,,,,
15,Carter Kieboom,Nationals,SS,21,2020,14,20,14,17,20,Moderate,0.285,0.37,0.48,25,5,,,,
16,Jesus Luzardo,A's,LHP,21,2019,16,20,20,16,17,Moderate,,,,,,2.9,1.1,200,210
17,Peter Alonso,Mets,1B,24,2019,14,22,19,22,14,High,0.27,0.37,0.57,40,1,,,,
18,Luis Urias,Padres,2B,22,2019,17,21,17,21,19,Low,0.32,0.36,0.45,15,10,,,,
19,Alex Reyes,Cardinals,RHP,24,2019,14,32,18,14,32,Extreme,,,,,,2.5,1.15,180,220
20,Vidal Brujan,Rays,2B,21,2021,22,24,24,24,22,Moderate,0.31,0.39,0.45,15,30,,,,
21,Yordan Alvarez,Astros,OF,22,2020,23,25,23,25,24,Moderate,0.27,0.35,0.53,30,1,,,,
22,A.J. Puk,A's,LHP,24,2019,15,33,25,33,15,High,,,,,,2.75,1.15,180,230
23,Trevor Larnach,Twins,OF,22,2020,21,29,28,29,21,Moderate,0.28,0.39,0.52,30,5,,,,
24,Jonathan India,Reds,3B,22,2020,21,31,21,31,27,Moderate,0.285,0.37,0.51,25,5,,,,
25,Brendan Rodgers,Rockies,SS,22,2020,23,31,26,23,31,Moderate,0.28,0.34,0.49,25,5,,,,
26,Garrett Hampson,Rockies,2B,24,2019,18,51,51,18,18,Moderate,0.285,0.36,0.44,10,30,,,,
27,Austin Riley,Braves,3B,22,2020,15,43,15,43,29,Moderate,0.265,0.345,0.525,30,1,,,,
28,Kristian Robinson,Diamondbacks,OF,18,2022,20,43,43,20,28,Extreme,0.275,0.34,0.53,25,15,,,,
29,Andres Gimenez,Mets,SS,20,2020,19,40,40,19,37,Moderate,0.29,0.34,0.44,15,25,,,,
30,Jazz Chisholm,Diamondbacks,SS,21,2021,26,41,30,26,41,High,0.27,0.335,0.47,20,20,,,,
31,Yusei Kikuchi,Mariners,LHP,27,2019,27,39,34,27,39,Low,,,,,,3.2,1.05,175,175
32,Gavin Lux,Dodgers,SS,21,2021,26,51,27,51,26,Moderate,0.285,0.37,0.485,20,15,,,,
33,Nate Lowe,Rays,1B,23,2019,32,38,32,38,36,Moderate,0.285,0.38,0.52,25,1,,,,
34,Nolan Jones,Indians,3B,21,2021,32,42,33,32,42,Moderate,0.27,0.375,0.515,25,1,,,,
35,Jesus Sanchez,Rays,OF,21,2021,28,45,36,28,45,High,0.28,0.33,0.51,25,5,,,,
36,Nolan Gorman,Cardinals,3B,19,2021,22,59,22,30,59,Extreme,0.27,0.35,0.54,30,1,,,,
37,MacKenzie Gore,Padres,LHP,20,2021,25,50,50,36,25,Extreme,,,,,,2.8,1.05,200,220
38,Michael Kopech,White Sox,RHP,23,2020,30,44,42,44,30,Extreme,,,,,,2.9,1.15,180,230
39,Mike Soroka,Braves,RHP,21,2019,33,45,45,41,33,Moderate,,,,,,2.7,1,190,185
40,Brent Honeywell,Rays,RHP,24,2019,23,49,48,49,23,High,,,,,,2.95,1.1,180,185
41,Nico Hoerner,Cubs,SS,21,2020,38,45,38,45,38,Moderate,0.285,0.365,0.485,20,10,,,,
42,Touki Toussaint,Braves,RHP,23,2019,35,44,44,35,43,High,,,,,,3.15,1.15,200,215
43,Chris Paddack,Padres,RHP,23,2020,39,46,39,40,46,Moderate,,,,,,2.8,1,180,175
44,Yusniel Diaz,Orioles,OF,22,2019,35,55,35,39,55,Moderate,0.29,0.36,0.47,20,10,,,,
