Rank,Player,Team,Position,Age,ETA
1,Vladimir Guerrero Jr.,Blue Jays,3B,19,2019
2,Eloy Jimenez,White Sox,OF,22,2019
3,Fernando Tatis Jr.,Padres,SS,20,2019
4,Victor Robles,Nationals,OF,21,2019
5,Wander Franco,Rays,SS,17,2021
6,Jo Adell,Angels,OF,19,2020
7,Nick Senzel,Reds,3B,23,2019
8,Royce Lewis,Twins,SS,19,2021
9,Keston Hiura,Brewers,2B,22,2019
10,Forrest Whitley,Astros,RHP,21,2019
11,Kyle Tucker,Astros,OF,21,2019
12,Alex Kirilloff,Twins,OF,20,2020
13,Bo Bichette,Blue Jays,SS,20,2019
14,Taylor Trammell,Reds,OF,21,2021
15,Carter Kieboom,Nationals,SS,21,2020
16,Jesus Luzardo,A's,LHP,21,2019
17,Pete Alonso,Mets,1B,24,2019
18,Luis Urias,Padres,2B,21,2018
19,Alex Reyes,Cardinals,RHP,24,2017
20,Vidal Brujan,Rays,2B,20,2021
21,Yordan Alvarez,Astros,1B,21,2019
22,A.J. Puk,A's,LHP,23,2020
23,Trevor Larnach,Twins,OF,21,2020
24,Jonathan India,Reds,3B,21,2020
25,Brendan Rodgers,Rockies,SS,22,2019
26,Garrett Hampson,Rockies,2B,24,2019
27,Austin Riley,Braves,3B,21,2019
28,Kristian Robinson,Diamondbacks,OF,18,2023
29,Andres Gimenez,Mets,SS,20,2020
30,Jazz Chisholm,Diamondbacks,SS,20,2020
31,Yusei Kikuchi,Mariners,LHP,27,2019
32,Gavin Lux,Dodgers,2B/SS,21,2020
33,Nate Lowe,Rays,1B,23,2019
34,Nolan Jones,Indians,3B,20,2020
35,Jesus Sanchez,Rays,OF,21,2021
36,Nolan Gorman,Cardinals,3B,18,2022
37,MacKenzie Gore,Padres,LHP,19,2022
38,Michael Kopech,White Sox,RHP,22,2018
39,Mike Soroka,Braves,RHP,21,2018
40,Brent Honeywell,Rays,RHP,23,2019
41,Nico Hoerner,Cubs,SS/2B,21,2020
42,Touki Toussaint,Braves,RHP,22,2018
43,Chris Paddack,Padres,RHP,22,2019
44,Yusniel Diaz,Orioles,OF,21,2019
45,Jarred Kelenic,Mariners,OF,19,2022
46,Xavier Edwards,Padres,SS,19,2021
47,Luis Garcia (WAS),Nationals,2B,18,2021
48,Ke'Bryan Hayes,Pirates,3B,21,2020
49,Drew Waters,Braves,OF,20,2021
50,Nate Pearson,Blue Jays,RHP,22,2020
51,Luis Robert,White Sox,OF,21,2020
52,Casey Mize,Tigers,RHP,21,2020
53,George Valera,Indians,OF,18,2022
54,Ian Anderson,Braves,RHP,20,2021
55,Sixto Sanchez,Phillies,RHP,20,2021
56,Jordyn Adams,Angels,OF,19,2023
57,Dylan Cease,White Sox,RHP,21,2020
58,Bubba Thompson,Rangers,OF,20,2022
59,Estevan Florial,Yankees,OF,21,2020
60,Marco Luciano,Giants,3B,17,2023
61,Danny Jansen,Blue Jays,C,23,2018
62,Josh James,Astros,RHP,25,2019
63,Matt Manning,Tigers,RHP,20,2021
64,Oneil Cruz,Pirates,SS,20,2021
65,Victor Victor Mesa,Marlins,OF,22,2020
66,Cristian Pache,Braves,OF,20,2021
67,Ronny Mauricio,Mets,SS,17,2023
68,Mark Vientos,Mets,3B/SS,19,2022
69,Alex Verdugo,Dodgers,OF,22,2019
70,Tyler Freeman,Indians,SS/2B,19,2021
71,Luis Patino,Padres,RHP,19,2022
72,Brusdar Graterol,Twins,RHP,20,2021
73,Alec Bohm,Phillies,3B,22,2020
74,Jordan Groshans,Blue Jays,3B/SS,19,2022
75,Bryse Wilson,Braves,RHP,21,2018
76,Nick Madrigal,White Sox,2B,21,2020
77,Brayan Rocchio,Indians,SS/3B,18,2022
78,Francisco Mejia,Padres,C,22,2018
79,Khalil Lee,Royals,OF,20,2022
80,Hudson Potts,Padres,SS/3B,20,2020
81,Isaac Paredes,Tigers,SS,19,2019
82,Julio Rodriguez,Mariners,OF,18,2023
83,Daulton Varsho,Diamondbacks,C,22,2021
84,Kyle Wright,Braves,RHP,23,2019
85,Sherten Apostel,Rangers,3B,20,2022
86,Jhon Torres,Cardinals,OF,18,2022
87,Brandon Marsh,Angels,OF,21,2021
88,Tyler Nevin,Rockies,1B,21,2020
89,Jorge Mateo,A's,SS,23,2019
90,Brendan McKay,Rays,LHP/1B,23,2020
91,Adonis Medina,Phillies,RHP,22,2021
92,Matthew Liberatore,Rays,LHP,19,2022
93,Triston McKenzie,Indians,RHP,21,2020
94,Christin Stewart,Tigers,OF,25,2018
95,Kevin Smith,Blue Jays,SS,22,2020
96,Deivi Garcia,Yankees,RHP,19,2020
97,Jonathan Loaisiga,Yankees,RHP,24,2019
98,Ryan Mountcastle,Orioles,3B,21,2019
99,Mitch Keller,Pirates,RHP,22,2019
100,Esteury Ruiz,Padres,2B,19,2021
101,Luis Garcia (PHI),Phillies,SS,18,2022
102,Dustin May,Dodgers,RHP,20,2020
103,Jahmai Jones,Angels,2B,21,2020
104,Elehuris Montero,Cardinals,3B,20,2020
105,Brandon Lowe,Rays,2B/OF,24,2018
106,Heliot Ramos,Giants,OF,19,2022
107,Jeter Downs,Dodgers,SS,20,2021
108,Adam Haseley,Phillies,OF,22,2019
109,Ryan McKenna,Orioles,OF,21,2019
110,Spencer Howard,Phillies,RHP,22,2021
111,Ronaldo Hernandez,Rays,C,21,2021
112,Travis Swaggerty,Pirates,OF,21,2021
113,D.L. Hall,Orioles,LHP,20,2021
114,Monte Harrison,Marlins,OF,23,2020
115,Antonio Cabello,Yankees,OF,18,2023
116,Jon Duplantier,Diamondbacks,RHP,24,2019
117,Colton Welker,Rockies,3B,21,2021
118,Joey Bart,Giants,C,22,2020
119,Griffin Canning,Angels,RHP,22,2019
120,Justus Sheffield,Mariners,LHP,22,2019
121,Grant Lavigne,Rockies,1B,19,2022
122,Hunter Greene,Reds,RHP,19,2022
123,D'Shawn Knowles,Angels,OF,18,2023
124,Anderson Espinoza,Padres,RHP,20,2021
125,Eric Pardinho,Blue Jays,RHP,18,2022
126,William Contreras,Braves,C,20,2021
127,Austin Beck,A's,OF,20,2022
128,Tirso Ornelas,Padres,OF,18,2021
129,Geraldo Perdomo,Diamondbacks,SS,18,2023
130,Daz Cameron,Tigers,OF,22,2019
131,Luis Rengifo,Angels,2B/SS,22,2019
132,Seuly Matias,Royals,OF,22,2022
133,Luiz Gohara,Braves,LHP,22,2018
134,Sandy Alcantara,Marlins,RHP,23,2018
135,Michael Chavis,Red Sox,3B,23,2019
136,Malcom Nunez,Cardinals,1B,17,2023
137,Corbin Martin,Astros,RHP,22,2020
138,Wander Javier,Twins,SS,19,2022
139,Cole Winn,Rangers,RHP,19,2022
140,Cole Roederer,Cubs,OF,19,2022
141,Adrian Morejon,Padres,LHP,19,2020
142,Justin Dunn,Mariners,RHP,23,2020
143,Hans Crouse,Rangers,OF,20,2021
144,Logan Gilbert,Mariners,RHP,21,2021
145,Kyle Lewis,Mariners,OF,23,2020
146,Nick Pratto,Royals,1B,20,2021
147,Micker Adolfo,White Sox,OF,22,2021
148,Julio Pablo Martinez,Rangers,OF,23,2021
149,Cavan Biggio,Blue Jays,1B/2B/3B,23,2019
150,Bobby Dalbec,Red Sox,3B,23,2020
151,Shed Long,Mariners,2B,23,2020
152,Keibert Ruiz,Dodgers,C,20,2020
153,Alek Thomas,Diamondbacks,OF,18,2023
154,Nick Solak,Rays,C,24,2019
155,Isan Diaz,Marlins,2B,22,2019
156,Austin Hays,Orioles,OF,23,2019
157,Leody Taveras,Rangers,OF,20,2020
158,Jeremiah Jackson,Angels,SS,19,2022
159,Shervyen Newton,Mets,SS,19,2022
160,Evan White,Mariners,1B,22,2020
161,M.J. Melendez,Royals,C,20,2021
162,Logan Allen,Padres,LHP,21,2019
163,Michel Baez,Padres,RHP,22,2020
164,Daniel Lynch,Royals,LHP,22,2020
165,Luis Oviedo,Indians,RHP,19,2022
166,Taylor Widener,Diamondbacks,RHP,23,2020
167,Tony Gonsolin,Dodgers,RHP,24,2019
168,Wenceel Perez,Tigers,SS,19,2022
169,Ethan Hankins,Indians,RHP,18,2023
170,Brennen Davis,Cubs,OF,19,2023
