Team,Link,Ranker
Marlins,https://www.prospectslive.com/lists/2018/12/1/miami-marlins-top-30-prospects,Eddy Almaguer
Dodgers,https://www.prospectslive.com/lists/2019/1/13/los-angeles-dodgers-top-30-prospects,Eddy Almaguer
Red Sox,https://www.prospectslive.com/lists/2018/10/15/boston-red-sox-top-30-prospects,Ralph Lifshitz
Orioles,https://www.prospectslive.com/lists/2018/10/8/baltimore-orioles-top-30-prospects,Ralph Lifshitz
Yankees,https://www.prospectslive.com/lists/2018/10/8/yankees,Jason Woodell
Rays,https://www.prospectslive.com/lists/2018/11/3/tampa-bay-rays-top-30-prospects,Jason Woodell
Blue Jays,https://www.prospectslive.com/lists/2018/10/13/toronto-blue-jays-top-30-prospects,Jason Woodell
White Sox,https://www.prospectslive.com/lists/2018/12/21/chicago-white-sox-top-30-prospects,Lance Brozdowski
Indians,https://www.prospectslive.com/lists/2018/10/23/cleveland-indians-top-30-prospects,Matt Thompson
Tigers,https://www.prospectslive.com/lists/2018/12/27/detroit-tigers-top-30-prospects,Jason Woodell
Royals,https://www.prospectslive.com/lists/2018/11/4/kansas-city-royals-top-30-prospects,Matt Thompson
Twins,https://www.prospectslive.com/lists/2018/11/3/minnesota-twins-top-30-prospects,Lance Brozdowski
Astros,https://www.prospectslive.com/lists/2018/11/12/houston-astros-top-30-prospects,Ralph Lifshitz
A's,https://www.prospectslive.com/lists/2018/10/13/oakland-athletics-top-30-prospects,Matt Thompson
Angels,https://www.prospectslive.com/lists/2018/11/24/los-angeles-angels-top-30-prospects,Matt Thompson
Mariners,https://www.prospectslive.com/prospect-lists/,The Prospects Live Staff
Rangers,https://www.prospectslive.com/lists/2018/12/4/texas-rangers-top-30-prospects,Jason Pennini
Braves,https://www.prospectslive.com/lists/2018/9/28/atlanta-braves-top-30-prospects,Jason Woodell
Mets,https://www.prospectslive.com/lists/2018/12/13/new-york-mets-top-30-prospects,Jason Woodell
Phillies,https://www.prospectslive.com/lists/2018/11/25/philadelphia-phillies-top-30-prospects,Jason Woodell
Nationals,https://www.prospectslive.com/lists/2018/10/27/washington-nationals-top-30-prospects,Ralph Lifshitz
Cubs,https://www.prospectslive.com/lists/2018/12/10/chicago-cubs-top-30-prospects,Jason Pennini
Reds,https://www.prospectslive.com/lists/2018/12/3/cincinnati-reds-top-30-prospects,Ralph Lifshitz
Brewers,https://www.prospectslive.com/lists/2018/12/22/milwaukee-brewers-top-30-prospects,Matt Thompson
Pirates,https://www.prospectslive.com/lists/2018/10/22/pittsburgh-pirates-top-30-prospects,Lance Brozdowski
Cardinals,https://www.prospectslive.com/lists/2018/11/20/st-louis-cardinals-top-30-prospects,Lance Brozdowski
Diamondbacks,https://www.prospectslive.com/lists/2018/9/29/arizona-diamondbacks-top-30-prospects/,Matt Thompson
Rockies,https://www.prospectslive.com/lists/2018/11/23/colorado-rockies-top-30-prospects,Ralph Lifshitz
Padres,https://www.prospectslive.com/lists/2019/1/5/san-diego-padres-top-30-prospects,Lance Brozdowski
Giants,https://www.prospectslive.com/lists/2018/12/19/san-francisco-giants-top-30-prospects,Jason Pennini
