Rank,Player,Team,Position,Age,ETA
1,Vladimir Guerrero Jr.,Blue Jays,3B,19,2019
2,Victor Robles,Nationals,OF,21,2019
3,Nick Senzel,Reds,3B,23,2019
4,Eloy Jimenez,White Sox,OF,22,2019
5,Pete Alonso,Mets,1B,24,2019
6,Luis Urias,Padres,2B,21,2018
7,Yusei Kikuchi,Mariners,LHP,27,2019
8,Danny Jansen,Blue Jays,C,23,2018
9,Christin Stewart,Tigers,OF,25,2018
10,Alex Reyes,Cardinals,RHP,24,2017
11,Mike Soroka,Braves,RHP,21,2018
12,Alex Verdugo,Dodgers,OF,22,2019
13,Touki Toussaint,Braves,RHP,22,2018
14,Sandy Alcantara,Marlins,RHP,23,2018
15,Garrett Hampson,Rockies,2B,24,2019
16,Brandon Lowe,Rays,2B/OF,24,2018
17,Josh James,Astros,RHP,25,2019
18,Kyle Tucker,Astros,OF,21,2019
19,Jesus Luzardo,A's,LHP,21,2019
20,Forrest Whitley,Astros,RHP,21,2019
21,Francisco Mejia,Padres,C,22,2018
22,Justus Sheffield,Mariners,LHP,22,2019
23,Dan Vogelbach,Mariners,1B/DH,26,2019
24,Jonathan Loaisiga,Yankees,RHP,24,2019
25,Willians Astudillo,Twins,C,27,2018
26,Yusniel Diaz,Orioles,OF,21,2019
27,Bryse Wilson,Braves,RHP,21,2018
28,Chris Paddack,Padres,RHP,22,2019
29,Merrill Kelly,Diamondbacks,RHP,30,2019
30,Sean Reid-Foley,Blue Jays,RHP,23,2018
31,Logan Allen,Padres,LHP,21,2019
32,Yu Chang,Indians,3B/SS,23,2019
33,Griffin Canning,Angels,RHP,22,2019
34,Nate Lowe,Rays,1B,23,2019
35,Fernando Tatis Jr.,Padres,SS,20,2019
36,Keston Hiura,Brewers,2B,22,2019
37,Isan Diaz,Marlins,2B,22,2019
38,Matt Thaiss,Angels,1B,23,2019
39,Daz Cameron,Tigers,OF,22,2019
40,Yordan Alvarez,Astros,1B,21,2019
41,Andrew Knizner,Cardinals,C,23,2019
42,Dennis Santana,Dodgers,RHP,22,2019
43,Chris Shaw,Giants,OF,25,2019
44,Jorge Mateo,A's,SS,23,2019
45,Brent Honeywell,Rays,RHP,23,2019
46,Taylor Widener,Diamondbacks,RHP,23,2020
47,A.J. Puk,A's,LHP,23,2020
48,Myles Straw,Astros,OF,24,2019
49,Austin Riley,Braves,3B,21,2019
50,Zac Gallen,Marlins,RHP,23,2019
