Rank,Player,Team,Position,Grade,Risk,Age,ETA,High,Low,Ralph,Lance,Eddy,Jason,Matt,JP
1,Vladimir Guerrero Jr.,Blue Jays,3B,80,Moderate,20,2019,1,1,1,1,1,1,1,1
2,Eloy Jimenez,White Sox,OF,70,Low,22,2019,2,4,3,2,2,4,3,2
3,Fernando Tatis Jr.,Padres,SS,70,Moderate,20,2020,2,5,2,3,4,2,2,5
4,Victor Robles,Nationals,OF,70,Low,22,2019,3,6,6,5,3,3,6,3
5,Forrest Whitley,Astros,RHP,70,Moderate,21,2019,4,7,4,4,7,6,4,4
6,Wander Franco,Rays,SS,70,High,18,2021,5,10,5,6,5,8,5,10
7,Royce Lewis,Twins,SS,65,Moderate,20,2020,6,12,7,8,6,12,8,6
8,Jo Adell,Angels,OF,65,Moderate,20,2020,7,12,12,10,9,7,7,7
9,Nick Senzel,Reds,3B,60,Moderate,24,2019,7,11,8,7,10,11,9,8
10,Alex Kirilloff,Twins,OF,60,Low,21,2020,5,14,10,9,13,5,10,14
11,Kyle Tucker,Astros,OF,60,Moderate,22,2019,8,15,9,15,8,13,13,9
12,Keston Hiura,Brewers,2B,60,Low,22,2019,9,19,15,19,11,9,14,11
13,Bo Bichette,Blue Jays,SS,60,High,21,2020,10,22,13,12,12,10,12,22
14,Carter Kieboom,Nationals,SS,60,Low,21,2020,12,22,22,16,15,18,17,12
15,Jesus Luzardo,A's,LHP,60,Moderate,21,2019,11,24,11,24,18,14,15,19
16,Alex Reyes,Cardinals,RHP,70,Extreme,24,2019,11,25,14,14,25,24,11,18
17,MacKenzie Gore,Padres,LHP,60,Moderate,20,2021,13,35,19,13,35,21,18,16
18,Jonathan India,Reds,3B,60,Moderate,22,2020,15,26,26,23,20,19,20,15
19,Taylor Trammell,Reds,OF,60,Moderate,21,2020,17,29,27,18,17,20,29,17
20,Cristian Pache,Braves,OF,70,Extreme,20,2020,13,41,16,27,41,16,16,13
21,Luis Urias,Padres,2B,55,Moderate,22,2019,14,27,23,25,14,27,25,23
22,Brent Honeywell,Rays,RHP,60,High,24,2019,17,31,24,17,19,30,31,21
23,Michael Kopech,White Sox,RHP,60,Extreme,23,2020,11,56,17,11,21,56,22,27
24,Andres Gimenez,Mets,SS,60,High,20,2020,19,37,25,37,27,29,19,31
25,Brendan Rodgers,Rockies,SS,55,Moderate,22,2020,24,34,29,32,34,25,28,24
26,Danny Jansen,Blue Jays,C,55,Low,24,2019,23,43,40,43,32,23,26,25
27,Ke'Bryan Hayes,Pirates,3B,50,Moderate,22,2020,17,62,21,26,45,17,21,62
